,,,,,,,,,,
,,,,,,,,,,
,PARQUE INDUSTRIAL,NAVE,AREA Pies2,AREA Mts2,ALTURA LIBRE Pies2,ALTURA LIBRE mts2,RAMPAS,SUBDIVISIBLE,OCUPADA/DISPONIBLE,CIUDAD
,PROMOTORA,P_02,"23,168.49","2,152.35",,,1,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_03,"4,638.69",430.93,,,0,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_04,"3,974.57",369.24,,,0,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_05,"28,531.22","2,650.55",,,0,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_06,"41,010.45","3,809.87",,,,,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_07,"39,071.87","3,629.78",,,,,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_08,"105,378.58","9,789.67",,,,,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MEXICALI
,PROPIEDADES NELSON,PN_01,"81,075.00","7,531.87",,,,,LATE COERE /TIJUANA,TIJUANA
,PROPIEDADES NELSON,PN_02,"61,999.00","5,759.71",,,,,SYNERGIC PRODUCTION TCI /HERMOSILLO,HERMOSILLO
,DESARROLLO INDUSTRIAL COLORADO,DC_01,"550,000.00","51,095.00",,,,,"INTERIORES AEREOS, S.A. DE C.V.",MEXICALI
,PROPIEDADES NELSON,PN_03,"52,646.00","4,890.81",,,,,DISPONIBLE SLP,SLP
,TECNOLOGICO,T_01,"200,000.00","18,580.00",,,,,"INTERIORES AEREOS, S.A. DE C.V.",MEXICALI
