AIP SLR C PC,670010008008*,Terreno SLRC Porcion C,286302.569,,"Lote Poligono 11 Fraccion Norte Porcion C Parque Industria Internacional San Luis Rio Colorado, Sonora",Lote Baldio
AIP SLR C PA,670010008042*,Terreno SLRC Porcion A,15575.77,48383.88496,"Lote Poligono 11 Fraccion Norte Porcion A Parque Industria Internacional San Luis Rio Colorado, Sonora",Energia electrica
,,,,,,
,,,350052.53900000005,48383.88496,,
,,,,,,
,MED BCN,,,,,
,,,,,,
,Clave Catastral,Ubicacion,Superficie M2,Superfici sqft Edificio,Ubicación,Servicios
MED ENS El Morro,ZP-100-367,Terreno Ensenada,10000,,"Lote Predio el Morro Fraccion A-2 Zona Playitas, Ensenada BC",Lote Baldio
,,,,,,
,,,10000,,,
,,,,,,
,,,,,,
,PARQUE INDUSTRIAL NELSON,,,,,
N L13,XN-001-013,Parque Industrial Nelson,8719.3,,"Circuito Norte Lote 13, Carretera a San Luis Km 14 Paque Industrial Nelson","Energia Eléctrica, Drenaje y Pluvial, Telecomunicaciones"
N L9,XN-001-009,Parque Industrial Nelson,8450,,"Circuito Norte Lote 9, Carretera a San Luis Km 14 Paque Industrial Nelson","Energia Eléctrica, Drenaje y Pluvial, Telecomunicaciones"
,,,,,,
,PARQUE INDUSTRIAL NELSON II,,,,,
N2 UC-1.1A,,Parque Industrial Nelson II,19634.98,, Blvd. Venustiano Carranza entre Manzanilla y Piñon.,"Energia Eléctrica, Drenaje y Pluvial, Telecomunicaciones"
N2 UC.2.1B,,Parque Industrial Nelson II,43336.81,, Blvd. Venustiano Carranza entre Manzanilla y Piñon.,"Energia Eléctrica, Drenaje y Pluvial, Telecomunicaciones"
N2 UC-2.1C,,Parque Industrial Nelson II,9292.58,, Blvd. Venustiano Carranza entre Manzanilla y Piñon.,"Energia Eléctrica, Drenaje y Pluvial, Telecomunicaciones"
